Shoreline Segment ID,Observation Date,Significant Wave Height (m),Peak Wave Period (s),Mean Spring Tidal Range (m),Monthly Peak Storm Surge (m),Beach Width (m),Beach Face Slope (-),Median Grain Size D50 (mm),Dune Crest Elevation (m),Nearshore Bathymetric Slope (-),Monthly Sediment Budget Balance (m3/m/month),Vegetation Cover (%),Previous Month Shoreline Position Change (m),Relative Sea-Level Rise (mm/yr),Monthly Coastal Erosion Condition Class
DSC-17,2024-06-01,1.159,6.121,0.427,0.361,8.0,0.015,0.126,1.411,0.0087,-0.511,18.7,-0.68,NaN,Mild Erosion Pressure
DSC-17,2024-07-01,1.005,6.131,0.427,0.339,8.0,0.018,0.126,1.407,0.0087,-0.049,19.9,-0.555,6.59,Mild Erosion Pressure
DSC-17,2024-08-01,0.686,7.027,0.427,0.282,8.792,0.0161,0.126,1.45,NaN,0.502,21.8,-0.175,6.59,Mild Erosion Pressure
DSC-17,2024-09-01,NaN,7.203,0.427,0.365,8.88,0.0186,0.126,1.432,0.0087,-1.364,22.6,-0.318,6.59,Active Erosion
DSC-17,2024-10-01,NaN,6.728,0.427,0.385,8.0,0.0174,0.126,1.422,0.0087,-0.832,23.4,-0.693,6.59,Mild Erosion Pressure
DSC-17,2024-11-01,1.274,7.436,0.427,0.441,8.0,0.017,0.126,1.435,0.0087,-1.279,NaN,-0.414,6.59,Active Erosion
DSC-17,2024-12-01,1.264,7.663,0.427,0.467,8.0,0.0176,0.126,1.404,0.0087,-2.385,22.8,-0.82,NaN,Active Erosion
DSC-18,2022-01-01,1.279,7.239,0.574,1.032,24.488,0.0177,0.165,1.123,0.0082,-0.886,8.1,-0.232,8.92,Severe Erosion Episode
DSC-18,2022-02-01,1.177,7.565,0.574,1.019,21.82,0.0253,0.165,1.014,0.0082,-2.328,6.6,-1.311,8.92,Severe Erosion Episode
DSC-18,2022-03-01,1.161,7.739,0.574,1.064,17.972,0.0254,NaN,0.963,0.0082,-1.538,NaN,-1.757,8.92,Severe Erosion Episode
DSC-18,2022-04-01,0.939,7.71,0.574,0.991,12.93,0.0251,0.165,NaN,NaN,-0.919,0.0,-1.659,8.92,Severe Erosion Episode
DSC-18,2022-05-01,1.383,NaN,0.574,1.179,10.225,0.0251,0.165,0.8,0.0082,-1.957,0.0,-1.261,8.92,Severe Erosion Episode
DSC-18,2022-06-01,1.041,7.219,0.574,1.074,8.0,0.0269,0.165,0.8,0.0082,-0.64,0.0,-1.907,8.92,Severe Erosion Episode
DSC-18,2022-07-01,0.915,NaN,0.574,0.929,8.0,0.0251,0.165,0.8,0.0082,-0.646,0.0,-1.477,8.92,Severe Erosion Episode
DSC-18,2022-08-01,1.12,7.241,0.574,1.089,8.0,0.026,0.165,0.8,0.0082,-0.481,0.0,-1.448,8.92,Severe Erosion Episode
DSC-18,2022-09-01,1.187,7.181,0.574,1.072,8.0,0.0303,0.165,0.8,0.0082,-1.114,0.0,-1.611,8.92,Severe Erosion Episode
DSC-18,2022-10-01,1.207,7.849,0.574,0.961,8.0,0.0269,0.165,NaN,0.0082,-1.086,0.0,-1.764,8.92,Severe Erosion Episode
DSC-18,2022-11-01,1.331,7.618,0.574,NaN,8.0,0.0256,0.165,0.8,NaN,-1.65,0.0,-1.848,8.92,Severe Erosion Episode
DSC-18,2022-12-01,1.489,7.647,0.574,1.139,8.0,0.026,0.165,0.8,0.0082,-1.831,0.0,-2.332,NaN,Severe Erosion Episode
DSC-18,2023-01-01,1.136,7.6,0.574,1.141,8.0,0.0254,0.165,0.8,0.0082,-1.383,0.0,NaN,8.92,Severe Erosion Episode
DSC-18,2023-02-01,1.118,7.327,NaN,1.13,8.0,0.0273,0.165,0.8,NaN,-2.379,0.0,-1.672,8.92,Severe Erosion Episode
DSC-18,2023-03-01,1.143,7.633,0.574,0.949,8.0,NaN,0.165,0.8,0.0082,-1.616,0.0,-1.696,8.92,Severe Erosion Episode
DSC-18,2023-04-01,0.915,7.549,0.574,0.922,8.0,0.0261,0.165,0.8,0.0082,-0.817,0.0,-1.801,8.92,Severe Erosion Episode
DSC-18,2023-05-01,0.671,6.891,0.574,0.915,8.0,0.0243,0.165,0.8,0.0082,-1.195,0.0,-1.22,8.92,Severe Erosion Episode
DSC-18,2023-06-01,0.781,7.01,0.574,0.903,8.0,0.0264,0.165,0.8,0.0082,-0.532,0.0,-1.339,8.92,Severe Erosion Episode
DSC-18,2023-07-01,0.889,6.646,0.574,0.93,8.0,0.0272,0.165,0.8,0.0082,-0.754,0.0,-1.342,8.92,Severe Erosion Episode
DSC-18,2023-08-01,0.922,7.573,0.574,NaN,8.0,0.0293,0.165,0.8,0.0082,-1.635,0.0,-1.757,8.92,Severe Erosion Episode
DSC-18,2023-09-01,0.991,NaN,0.574,0.977,8.0,0.0222,0.165,0.8,0.0082,-0.671,0.0,-1.844,8.92,Severe Erosion Episode
DSC-18,2023-10-01,0.955,7.016,0.574,0.938,8.0,0.0294,0.165,0.8,0.0082,-1.093,0.0,-1.675,8.92,Severe Erosion Episode
DSC-18,2023-11-01,1.619,8.488,NaN,1.252,8.0,0.0276,0.165,0.8,0.0082,-3.179,0.0,-1.72,8.92,Severe Erosion Episode
DSC-18,2023-12-01,1.471,7.906,0.574,1.055,8.0,0.0253,0.165,0.8,0.0082,-1.826,0.0,-2.541,8.92,Severe Erosion Episode
DSC-18,2024-01-01,NaN,8.266,0.574,1.15,8.0,0.0253,0.165,0.8,0.0082,-1.352,0.0,-2.361,NaN,Severe Erosion Episode
DSC-18,2024-02-01,1.645,8.111,0.574,1.452,8.0,0.0241,NaN,NaN,0.0082,-2.625,0.0,-2.22,8.92,Severe Erosion Episode
DSC-18,2024-03-01,1.191,NaN,0.574,1.039,8.0,0.024,0.165,0.8,0.0082,-2.093,0.0,-2.446,8.92,Severe Erosion Episode
DSC-18,2024-04-01,0.855,7.528,0.574,0.994,8.0,0.0238,0.165,0.8,0.0082,-1.19,0.0,NaN,8.92,Severe Erosion Episode
DSC-18,2024-05-01,0.537,7.237,0.574,0.957,8.0,0.0243,0.165,0.8,0.0082,-0.129,0.0,-1.575,8.92,Severe Erosion Episode
DSC-18,2024-06-01,0.919,6.827,0.574,0.939,8.0,0.028,0.165,0.8,0.0082,0.461,0.0,-1.265,8.92,Severe Erosion Episode
DSC-18,2024-07-01,1.002,6.989,0.574,0.973,8.0,0.024,0.165,0.8,0.0082,-1.503,0.0,-0.863,8.92,Severe Erosion Episode
DSC-18,2024-08-01,0.716,7.212,0.574,1.018,8.0,NaN,0.165,0.8,0.0082,0.32,0.0,-1.41,8.92,Severe Erosion Episode
DSC-18,2024-09-01,1.179,6.815,0.574,0.928,8.0,0.0243,0.165,0.8,0.0082,-1.22,0.0,-1.623,8.92,Severe Erosion Episode
DSC-18,2024-10-01,1.331,7.358,0.574,0.994,8.0,0.0263,0.165,0.8,0.0082,-1.37,0.0,-1.869,8.92,Severe Erosion Episode
DSC-18,2024-11-01,1.429,NaN,0.574,1.014,NaN,0.0294,0.165,NaN,NaN,-2.073,0.0,-1.781,8.92,Severe Erosion Episode
DSC-18,2024-12-01,1.335,NaN,0.574,1.057,8.0,0.0297,0.165,0.8,0.0082,-1.993,0.0,-2.146,8.92,Severe Erosion Episode
DSC-19,2022-01-01,2.083,9.959,1.157,1.102,NaN,0.0243,0.184,1.336,0.0081,-1.469,30.7,-0.003,6.95,Severe Erosion Episode
DSC-19,2022-02-01,2.072,9.405,1.157,1.212,31.318,0.0282,0.184,1.216,0.0081,NaN,24.4,-2.236,6.95,Severe Erosion Episode
DSC-19,2022-03-01,1.997,9.174,1.157,1.24,27.171,0.0243,0.184,1.035,0.0081,-1.246,19.2,-2.183,6.95,Severe Erosion Episode
DSC-19,2022-04-01,1.835,9.378,1.157,1.066,22.13,0.0301,NaN,0.911,0.0081,-0.746,12.9,-2.646,6.95,Severe Erosion Episode
DSC-19,2022-05-01,1.498,9.329,1.157,NaN,18.294,0.026,0.184,0.8,0.0081,-0.627,8.7,-2.243,6.95,Severe Erosion Episode
DSC-19,2022-06-01,1.36,7.89,1.157,1.138,13.434,0.0261,0.184,0.8,0.0081,-0.768,4.7,-2.133,6.95,Severe Erosion Episode
DSC-19,2022-07-01,1.324,8.717,1.157,NaN,10.453,0.0288,0.184,0.8,0.0081,0.587,0.4,-1.686,6.95,Severe Erosion Episode
DSC-19,2022-08-01,1.594,9.277,1.157,1.226,8.0,0.0298,0.184,0.8,0.0081,-1.022,0.0,-1.791,NaN,Severe Erosion Episode
DSC-19,2022-09-01,1.492,8.748,1.157,0.997,8.0,0.0336,0.184,0.8,0.0081,-0.496,0.0,NaN,6.95,Severe Erosion Episode
DSC-19,2022-10-01,1.64,NaN,NaN,1.102,8.0,0.0262,0.184,0.8,0.0081,-1.816,0.0,-2.065,6.95,Severe Erosion Episode
DSC-19,2022-11-01,2.17,9.102,1.157,1.058,8.0,0.0325,0.184,0.8,0.0081,-0.793,0.0,-2.371,6.95,Severe Erosion Episode
DSC-19,2022-12-01,2.115,9.767,1.157,1.206,8.0,0.0302,0.184,0.8,0.0081,NaN,0.0,-2.743,6.95,Severe Erosion Episode
DSC-19,2023-01-01,2.514,9.28,1.157,1.362,8.0,0.0285,0.184,0.8,0.0081,NaN,0.0,-2.702,6.95,Severe Erosion Episode
DSC-19,2023-02-01,2.301,9.62,1.157,1.189,8.0,0.0298,0.184,0.8,0.0081,-0.578,0.0,-3.1,6.95,Severe Erosion Episode
DSC-19,2023-03-01,2.53,9.717,NaN,1.488,8.0,0.0308,0.184,0.8,0.0081,-1.223,0.0,-2.669,6.95,Severe Erosion Episode
DSC-19,2023-04-01,NaN,9.595,1.157,1.116,8.0,0.0345,0.184,0.8,NaN,-1.595,0.0,-3.1,6.95,Severe Erosion Episode
DSC-19,2023-05-01,1.757,8.851,NaN,1.309,8.0,0.032,0.184,0.8,0.0081,-0.144,0.0,-2.705,6.95,Severe Erosion Episode
DSC-19,2023-06-01,2.484,9.777,1.157,1.635,8.0,0.0322,0.184,0.8,0.0081,-3.122,0.0,-2.51,6.95,Severe Erosion Episode
DSC-19,2023-07-01,1.608,8.718,1.157,1.139,8.0,0.031,0.184,0.8,0.0081,-0.132,0.0,-3.1,6.95,Severe Erosion Episode
DSC-19,2023-08-01,1.462,9.456,1.157,1.19,NaN,0.0322,0.184,0.8,0.0081,-0.707,0.0,-2.467,NaN,Severe Erosion Episode
DSC-19,2023-09-01,1.498,9.189,1.157,1.147,8.0,0.0305,0.184,0.8,0.0081,-0.097,NaN,-2.417,6.95,Severe Erosion Episode
DSC-19,2023-10-01,1.77,9.307,NaN,1.086,8.0,0.0308,0.184,0.8,0.0081,-0.799,0.0,-2.053,6.95,Severe Erosion Episode
DSC-19,2023-11-01,2.236,10.443,NaN,1.356,8.0,0.0272,0.184,0.8,0.0081,-0.657,0.0,-2.562,6.95,Severe Erosion Episode
DSC-19,2023-12-01,NaN,NaN,1.157,1.243,8.0,0.0293,0.184,0.8,0.0081,-1.667,0.0,-2.828,6.95,Severe Erosion Episode
DSC-19,2024-01-01,2.635,9.94,1.157,1.41,8.0,0.0331,0.184,0.8,0.0081,-1.797,0.0,-3.036,6.95,Severe Erosion Episode
DSC-19,2024-02-01,2.163,9.863,NaN,1.182,8.0,0.027,0.184,0.8,0.0081,-1.239,0.0,-3.1,6.95,Severe Erosion Episode
DSC-19,2024-03-01,1.851,9.515,1.157,1.212,8.0,0.0277,0.184,0.8,0.0081,-1.017,0.0,-2.855,6.95,Severe Erosion Episode
DSC-19,2024-04-01,NaN,9.474,1.157,0.978,8.0,0.0306,0.184,0.8,0.0081,-1.26,0.0,-2.738,6.95,Severe Erosion Episode
DSC-19,2024-05-01,1.46,8.921,1.157,1.02,8.0,0.0305,0.184,0.8,0.0081,-0.509,0.0,-2.613,6.95,Severe Erosion Episode
DSC-19,2024-06-01,1.421,8.246,1.157,1.045,8.0,NaN,0.184,0.8,0.0081,0.385,NaN,-2.185,6.95,Severe Erosion Episode
DSC-19,2024-07-01,1.21,8.497,1.157,1.078,8.0,0.0285,0.184,0.8,0.0081,-0.215,0.0,-1.875,6.95,Severe Erosion Episode
DSC-19,2024-08-01,1.387,8.587,1.157,1.019,8.0,0.0298,0.184,0.8,0.0081,-0.086,0.0,-1.801,6.95,Severe Erosion Episode
DSC-19,2024-09-01,1.91,9.003,1.157,1.051,8.0,0.0318,0.184,NaN,0.0081,-0.979,0.0,-1.642,6.95,Severe Erosion Episode
DSC-19,2024-10-01,1.666,9.313,1.157,0.985,8.0,0.0312,0.184,0.8,0.0081,-0.567,0.0,-2.353,6.95,Severe Erosion Episode
DSC-19,2024-11-01,2.007,9.042,1.157,1.105,8.0,0.0294,0.184,0.8,0.0081,-1.272,0.0,-2.462,6.95,Severe Erosion Episode
DSC-19,2024-12-01,2.171,9.082,NaN,1.147,8.0,0.0308,0.184,0.8,0.0081,-1.058,0.0,-2.706,6.95,Severe Erosion Episode
DSC-21,2022-01-01,2.243,8.769,0.996,0.959,NaN,0.0234,0.203,1.506,0.0109,-1.267,9.0,-0.272,7.76,Severe Erosion Episode
DSC-21,2022-02-01,2.173,9.044,0.996,0.861,31.786,NaN,0.203,1.483,0.0109,-2.014,5.6,-1.622,7.76,Severe Erosion Episode
DSC-21,2022-03-01,1.796,8.279,0.996,0.649,28.299,0.0289,0.203,1.436,0.0109,-0.69,3.4,-1.674,7.76,Severe Erosion Episode
DSC-21,2022-04-01,1.739,8.805,0.996,0.724,24.301,0.0292,0.203,1.353,0.0109,-0.715,1.7,-1.326,7.76,Severe Erosion Episode
DSC-21,2022-05-01,2.511,9.467,0.996,NaN,NaN,0.0298,0.203,1.304,0.0109,-3.287,0.6,-1.568,7.76,Severe Erosion Episode
DSC-21,2022-06-01,1.469,8.395,0.996,0.751,17.344,0.0315,0.203,1.125,0.0109,-0.915,0.0,-2.291,7.76,Severe Erosion Episode
DSC-21,2022-07-01,1.15,7.781,NaN,0.737,14.39,0.0283,NaN,1.071,0.0109,-0.078,0.0,-1.581,7.76,Severe Erosion Episode
DSC-21,2022-08-01,1.223,8.073,0.996,0.622,13.636,0.0321,0.203,1.062,0.0109,-0.581,0.2,-1.153,7.76,Severe Erosion Episode
DSC-21,2022-09-01,1.25,8.537,0.996,0.663,11.379,0.0309,0.203,1.018,0.0109,0.176,0.0,-0.97,7.76,Severe Erosion Episode
DSC-21,2022-10-01,1.532,7.969,0.996,0.704,8.301,0.0312,0.203,NaN,NaN,-1.527,0.0,-1.336,7.76,Severe Erosion Episode
DSC-21,2022-11-01,1.481,8.809,0.996,0.567,8.0,0.0296,0.203,0.907,0.0109,-1.334,0.0,-1.627,7.76,Severe Erosion Episode
DSC-21,2022-12-01,1.947,8.988,0.996,0.751,8.0,0.0341,0.203,0.8,0.0109,-2.621,0.0,-1.847,7.76,Severe Erosion Episode
DSC-21,2023-01-01,2.226,8.186,NaN,0.876,8.0,0.0296,0.203,0.8,0.0109,-1.839,0.0,-2.278,7.76,Severe Erosion Episode
DSC-21,2023-02-01,1.953,9.198,0.996,0.768,8.0,0.0337,0.203,0.8,0.0109,-1.808,0.0,NaN,NaN,Severe Erosion Episode
DSC-21,2023-03-01,1.913,8.135,0.996,0.727,8.0,0.0309,0.203,0.8,0.0109,-1.8,0.0,-2.199,7.76,Severe Erosion Episode
DSC-21,2023-04-01,1.63,9.018,0.996,0.695,8.0,0.0307,0.203,0.8,0.0109,-1.163,0.0,-2.224,7.76,Severe Erosion Episode
DSC-21,2023-05-01,1.498,7.849,0.996,0.563,8.0,0.0361,0.203,0.8,0.0109,-2.002,0.0,-2.336,7.76,Severe Erosion Episode
DSC-21,2023-06-01,1.055,8.193,0.996,0.533,8.0,0.0288,NaN,0.8,0.0109,-0.682,0.0,-1.809,7.76,Severe Erosion Episode
DSC-21,2023-07-01,1.305,7.986,0.996,0.654,8.0,0.0329,0.203,0.8,0.0109,NaN,0.0,-1.246,7.76,Severe Erosion Episode
DSC-21,2023-08-01,NaN,NaN,NaN,0.701,NaN,0.0309,0.203,0.8,0.0109,-0.04,0.0,-1.384,7.76,Severe Erosion Episode
DSC-21,2023-09-01,1.468,8.414,NaN,0.757,8.0,0.0301,0.203,0.8,0.0109,-1.661,0.0,-1.577,7.76,Severe Erosion Episode
DSC-21,2023-10-01,1.607,NaN,0.996,0.541,8.0,0.0285,0.203,0.8,0.0109,-0.525,0.0,-1.857,7.76,Severe Erosion Episode
DSC-21,2023-11-01,1.976,8.689,0.996,0.698,8.0,0.0312,0.203,0.8,0.0109,-1.253,0.0,-1.77,NaN,Severe Erosion Episode
DSC-21,2023-12-01,2.143,8.606,0.996,0.659,8.0,0.0323,0.203,0.8,0.0109,-1.705,0.0,NaN,7.76,Severe Erosion Episode
DSC-21,2024-01-01,1.936,7.965,0.996,0.725,8.0,0.0299,0.203,0.8,0.0109,-1.012,0.0,-2.268,7.76,Severe Erosion Episode
DSC-21,2024-02-01,1.831,9.293,0.996,0.793,8.0,0.0321,0.203,0.8,0.0109,-1.793,0.0,-2.648,7.76,Severe Erosion Episode
DSC-21,2024-03-01,1.62,8.106,0.996,0.684,8.0,0.035,0.203,NaN,0.0109,-1.38,0.0,NaN,7.76,Severe Erosion Episode
DSC-21,2024-04-01,2.062,9.527,0.996,0.919,8.0,0.0327,0.203,0.8,0.0109,-2.248,0.0,-1.95,7.76,Severe Erosion Episode
DSC-21,2024-05-01,1.894,8.72,0.996,NaN,8.0,0.0334,0.203,0.8,0.0109,-1.938,0.0,-2.468,7.76,Severe Erosion Episode
DSC-21,2024-06-01,1.373,8.046,0.996,0.699,8.0,0.0315,0.203,0.8,0.0109,0.833,0.0,-2.121,7.76,Severe Erosion Episode
DSC-21,2024-07-01,1.372,7.672,0.996,0.599,8.0,0.0358,0.203,0.8,0.0109,-0.487,0.0,-1.532,7.76,Severe Erosion Episode
DSC-21,2024-08-01,2.095,NaN,0.996,1.073,8.0,0.0297,0.203,NaN,0.0109,-3.012,0.0,-1.372,7.76,Severe Erosion Episode
DSC-21,2024-09-01,1.403,7.855,0.996,0.706,8.0,0.0304,0.203,0.8,0.0109,-1.054,0.0,-2.182,NaN,Severe Erosion Episode
DSC-21,2024-10-01,1.273,7.698,0.996,0.716,8.0,0.0319,0.203,0.8,0.0109,-1.897,0.0,-1.39,7.76,Severe Erosion Episode
DSC-21,2024-11-01,1.88,8.482,0.996,0.72,8.0,NaN,0.203,0.8,NaN,-1.868,0.0,-1.781,7.76,Severe Erosion Episode
DSC-21,2024-12-01,1.953,8.705,0.996,0.818,8.0,0.0313,0.203,NaN,NaN,-1.929,0.0,-2.09,7.76,Severe Erosion Episode
EBC-04,2022-01-01,NaN,10.38,1.965,0.471,20.332,0.0252,0.2,3.469,0.0153,0.271,28.6,-0.046,5.29,Mild Erosion Pressure
EBC-04,2022-02-01,1.691,10.114,1.965,0.569,18.945,0.0287,0.2,3.498,0.0153,-0.46,NaN,NaN,5.29,Mild Erosion Pressure
EBC-04,2022-03-01,1.594,9.824,1.965,0.579,17.875,0.0278,0.2,3.504,0.0153,-0.569,28.9,-0.661,5.29,Active Erosion
EBC-04,2022-04-01,1.474,9.846,1.965,0.507,16.254,0.0282,0.2,3.466,0.0153,0.382,27.9,-0.965,5.29,Active Erosion
EBC-04,2022-05-01,1.234,9.968,NaN,0.444,15.944,0.0304,0.2,NaN,NaN,0.577,25.8,-0.799,5.29,Mild Erosion Pressure
EBC-04,2022-06-01,1.155,8.815,NaN,0.309,14.996,0.0255,0.2,3.513,0.0153,1.223,27.0,-0.534,NaN,Stable Seasonal State
EBC-04,2022-07-01,1.182,8.406,1.965,0.357,14.284,0.0266,0.2,3.572,0.0153,1.177,29.5,0.1,NaN,Mild Erosion Pressure
EBC-04,2022-08-01,1.142,8.931,1.965,0.444,14.921,0.024,0.2,3.584,0.0153,0.83,NaN,-0.372,5.29,Mild Erosion Pressure
EBC-04,2022-09-01,1.113,9.313,NaN,0.386,15.432,0.0274,0.2,3.627,0.0153,0.94,29.8,-0.398,5.29,Mild Erosion Pressure
EBC-04,2022-10-01,1.348,9.925,1.965,0.35,15.56,0.0265,0.2,3.567,0.0153,-0.198,31.8,-0.402,5.29,Mild Erosion Pressure
EBC-04,2022-11-01,NaN,10.157,1.965,0.381,15.818,NaN,0.2,3.566,0.0153,-0.068,30.4,-0.381,5.29,Active Erosion
EBC-04,2022-12-01,1.643,9.805,1.965,0.55,13.462,0.0259,0.2,3.614,0.0153,-0.532,NaN,-0.79,5.29,Active Erosion
EBC-04,2023-01-01,2.955,11.204,1.965,1.28,10.053,0.0285,0.2,3.58,0.0153,NaN,28.2,-1.169,5.29,Severe Erosion Episode
EBC-04,2023-02-01,2.008,NaN,1.965,0.769,8.0,0.0292,0.2,3.545,0.0153,-0.645,27.5,-1.384,5.29,Active Erosion
EBC-04,2023-03-01,2.781,10.801,NaN,1.261,NaN,0.0301,0.2,3.53,0.0153,-2.366,26.6,-1.077,5.29,Active Erosion
EBC-04,2023-04-01,1.979,10.132,NaN,0.87,8.0,0.0314,0.2,3.505,0.0153,-1.424,24.7,-1.381,5.29,Active Erosion
EBC-04,2023-05-01,1.75,9.46,1.965,0.584,8.0,0.0279,0.2,3.51,0.0153,-0.057,24.1,-0.916,5.29,Active Erosion
EBC-04,2023-06-01,0.977,9.822,1.965,0.42,8.0,0.0308,0.2,3.471,0.0153,1.255,25.4,-1.011,5.29,Mild Erosion Pressure
EBC-04,2023-07-01,0.94,9.079,NaN,0.322,NaN,NaN,0.2,3.526,0.0153,0.132,26.7,-0.302,5.29,Stable Seasonal State
EBC-04,2023-08-01,1.599,10.061,1.965,0.786,8.0,0.026,0.2,3.515,0.0153,NaN,29.2,NaN,5.29,Mild Erosion Pressure
EBC-04,2023-09-01,1.168,9.65,1.965,0.492,8.0,0.0289,0.2,3.573,0.0153,-0.248,29.1,-0.486,5.29,Mild Erosion Pressure
EBC-04,2023-10-01,1.323,8.925,1.965,0.386,8.363,0.0262,0.2,3.659,0.0153,-0.589,30.2,-0.325,5.29,Mild Erosion Pressure
EBC-04,2023-11-01,1.563,10.017,1.965,0.478,8.165,0.0268,0.2,3.649,0.0153,-0.671,30.1,-0.248,5.29,Active Erosion
EBC-04,2023-12-01,1.418,9.758,1.965,0.546,8.0,0.0305,0.2,3.603,0.0153,-0.476,29.5,-1.069,5.29,Active Erosion
EBC-04,2024-01-01,1.886,10.28,1.965,0.599,8.0,0.03,0.2,3.6,NaN,0.313,28.6,-0.742,5.29,Active Erosion
EBC-04,2024-02-01,NaN,9.593,NaN,0.628,8.0,0.0275,NaN,NaN,0.0153,-0.135,26.0,-0.819,5.29,Active Erosion
EBC-04,2024-03-01,1.795,10.348,1.965,0.576,8.0,0.0297,0.2,3.556,0.0153,-0.076,25.7,-0.944,5.29,Active Erosion
EBC-04,2024-04-01,1.45,9.789,1.965,0.476,8.0,0.029,0.2,3.577,NaN,1.167,25.9,-0.874,NaN,Active Erosion
EBC-04,2024-05-01,1.437,9.194,1.965,0.462,8.14,0.0279,0.2,3.615,0.0153,0.888,28.4,-0.702,5.29,Mild Erosion Pressure
EBC-04,2024-06-01,1.141,8.99,1.965,0.473,8.0,0.0259,0.2,3.632,0.0153,0.731,31.9,-0.444,5.29,Mild Erosion Pressure
EBC-04,2024-07-01,1.253,9.225,1.965,0.469,8.417,0.0256,0.2,3.628,0.0153,0.753,31.4,-0.265,5.29,Mild Erosion Pressure
EBC-04,2024-08-01,NaN,9.004,1.965,0.44,9.155,0.0269,0.2,3.67,0.0153,0.828,33.0,-0.354,5.29,Mild Erosion Pressure
EBC-04,2024-09-01,1.356,8.712,1.965,0.356,9.469,0.0251,0.2,3.713,0.0153,0.663,33.5,-0.239,5.29,Mild Erosion Pressure
EBC-04,2024-10-01,1.603,9.122,1.965,0.536,10.749,0.027,0.2,3.749,0.0153,-0.145,35.0,-0.351,5.29,Active Erosion
EBC-04,2024-11-01,1.599,9.745,1.965,0.553,9.378,0.0295,0.2,3.752,0.0153,-0.2,35.5,-0.752,5.29,Mild Erosion Pressure
EBC-04,2024-12-01,1.98,10.049,NaN,0.701,9.424,0.0283,0.2,3.805,0.0153,-0.744,34.2,-0.595,5.29,Active Erosion
EBC-07,2022-01-01,2.664,11.337,1.751,0.83,43.092,0.0304,0.26,4.62,0.0072,-0.423,23.4,0.035,2.17,Active Erosion
EBC-07,2022-02-01,2.658,11.917,1.751,0.667,41.591,0.0356,0.26,4.603,0.0072,-0.802,23.4,-0.991,2.17,Active Erosion
EBC-07,2022-03-01,2.202,11.511,1.751,0.779,38.854,0.0344,0.26,4.582,0.0072,-0.202,22.2,-1.052,2.17,Active Erosion
EBC-07,2022-04-01,2.305,11.874,1.751,0.871,37.586,0.0362,0.26,4.592,0.0072,NaN,24.3,-0.898,2.17,Active Erosion
EBC-07,2022-05-01,2.24,10.583,1.751,0.808,36.317,0.0327,0.26,4.567,0.0072,0.096,22.6,-1.18,2.17,Mild Erosion Pressure
EBC-07,2022-06-01,1.966,10.236,1.751,0.672,36.387,0.0364,0.26,4.546,0.0072,NaN,25.4,-0.446,2.17,Mild Erosion Pressure
EBC-07,2022-07-01,NaN,NaN,1.751,0.593,36.41,0.0309,0.26,4.544,0.0072,1.066,26.3,-0.507,2.17,Stable Seasonal State
EBC-07,2022-08-01,2.076,10.887,NaN,0.717,37.12,0.0323,0.26,4.598,0.0072,0.085,26.4,0.066,2.17,Mild Erosion Pressure
EBC-07,2022-09-01,2.045,10.986,1.751,0.588,36.895,0.0308,0.26,4.579,0.0072,-0.673,27.5,-0.366,2.17,Mild Erosion Pressure
EBC-07,2022-10-01,2.277,11.196,NaN,0.639,36.512,0.0328,0.26,4.638,0.0072,-0.059,27.3,-0.432,2.17,Mild Erosion Pressure
EBC-07,2022-11-01,2.705,11.506,1.751,0.697,36.958,0.0316,NaN,4.645,NaN,0.89,27.4,-0.603,2.17,Active Erosion
EBC-07,2022-12-01,NaN,11.476,1.751,0.728,35.282,NaN,0.26,4.668,0.0072,-0.605,NaN,-0.893,2.17,Active Erosion
EBC-07,2023-01-01,2.875,NaN,1.751,0.786,34.019,0.0367,0.26,4.675,0.0072,-0.011,28.0,-1.253,2.17,Active Erosion
EBC-07,2023-02-01,2.566,NaN,1.751,0.673,31.18,0.0317,0.26,4.647,0.0072,-0.718,28.1,NaN,NaN,Active Erosion
EBC-07,2023-03-01,2.557,11.063,1.751,0.747,29.344,0.0334,0.26,4.672,0.0072,-0.325,25.9,-1.009,2.17,Active Erosion
EBC-07,2023-04-01,2.017,10.863,1.751,0.641,27.751,0.0339,0.26,4.687,0.0072,NaN,25.9,-0.788,2.17,Mild Erosion Pressure
EBC-07,2023-05-01,2.127,10.597,1.751,0.497,25.867,NaN,0.26,4.723,0.0072,0.791,28.8,-0.499,2.17,Mild Erosion Pressure
EBC-07,2023-06-01,2.782,11.507,1.751,1.177,25.146,0.0347,0.26,4.765,0.0072,-0.783,27.6,-0.593,NaN,Active Erosion
EBC-07,2023-07-01,2.329,10.96,1.751,0.981,24.763,0.0357,0.26,4.739,0.0072,-0.121,28.6,-0.708,2.17,Mild Erosion Pressure
EBC-07,2023-08-01,2.387,10.586,NaN,0.725,24.428,0.0332,0.26,4.728,0.0072,-0.39,29.6,-0.679,2.17,Mild Erosion Pressure
EBC-07,2023-09-01,2.166,10.726,1.751,0.613,22.867,0.0362,0.26,4.74,0.0072,-0.119,26.6,-0.687,2.17,Active Erosion
EBC-07,2023-10-01,2.372,11.907,1.751,0.639,20.603,0.0362,0.26,4.768,0.0072,0.393,23.8,-0.836,2.17,Active Erosion
EBC-07,2023-11-01,2.595,11.648,1.751,0.766,17.972,0.0345,0.26,4.804,0.0072,-0.547,22.7,-1.051,2.17,Active Erosion
