Observation Date,Daily Rainfall (mm),Antecedent 3-Day Rainfall (mm),Antecedent 7-Day Rainfall (mm),Groundwater Depth Below Ground Surface (m),Piezometric Head Above Slip Surface (m),Volumetric Water Content (%),Matric Suction (kPa),Pore Pressure Ratio ru (-),Surface Displacement Rate (mm/day),7-Day Cumulative Surface Displacement (mm),Inclinometer Shear Zone Movement Rate (mm/day),Extensometer Extension Rate (mm/day),Slope Stability Alert Level
2022-08-17,0.0,6.65,40.83,5.49,0.0,NaN,42.47,0.109,0.027,0.208,0.0,0.0,Elevated
2022-08-18,0.0,6.65,40.83,7.52,0.0,20.63,43.71,0.123,0.092,0.277,0.065,0.0,Elevated
2022-08-19,15.57,15.57,49.56,6.28,0.0,21.99,44.12,0.072,NaN,0.248,0.0,0.0,Elevated
2022-08-20,10.09,25.66,32.31,6.97,0.0,19.96,47.99,0.065,0.03,0.215,0.103,0.038,Elevated
2022-08-21,0.0,25.66,32.31,6.98,0.0,22.79,44.58,0.095,0.01,0.215,0.042,0.048,Elevated
2022-08-22,0.0,10.09,32.31,6.82,0.0,19.92,46.87,0.101,0.052,0.252,0.023,0.079,Elevated
2022-08-23,0.0,0.0,25.66,8.94,0.0,18.63,53.16,0.083,0.023,0.244,0.0,0.037,Elevated
2022-08-24,0.0,0.0,25.66,NaN,0.0,16.59,53.13,0.02,0.01,0.227,NaN,0.0,Elevated
2022-08-25,0.0,0.0,NaN,7.78,0.0,18.74,53.13,0.122,0.01,0.145,0.0,0.012,Elevated
2022-08-26,NaN,0.0,10.09,9.37,0.0,18.07,47.41,0.024,0.033,0.168,0.0,0.008,Normal
2022-08-27,0.0,0.0,0.0,7.8,0.0,19.79,39.64,0.031,0.029,0.167,0.0,0.0,Normal
2022-08-28,28.37,28.37,28.37,6.63,0.0,20.75,47.21,0.059,0.014,0.171,0.0,0.087,Elevated
2022-08-29,0.0,28.37,28.37,6.08,0.0,17.81,45.54,0.186,0.02,0.14,0.0,0.144,Elevated
2022-08-30,0.0,28.37,28.37,7.15,0.0,19.78,47.57,NaN,0.01,0.127,0.0,0.157,Elevated
2022-08-31,0.0,0.0,28.37,7.8,0.0,20.28,47.12,0.027,0.01,0.127,0.0,0.0,Elevated
2022-09-01,0.0,0.0,28.37,7.76,0.0,NaN,52.02,0.087,0.065,0.181,0.045,0.074,Elevated
2022-09-02,NaN,0.0,28.37,7.78,0.0,20.7,49.73,0.084,0.012,0.16,0.047,0.0,Elevated
2022-09-03,0.0,0.0,28.37,NaN,0.0,20.4,49.74,0.05,NaN,0.141,0.0,0.0,Elevated
2022-09-04,0.0,0.0,0.0,9.45,0.0,18.28,56.59,0.069,0.01,0.136,0.0,0.0,Normal
2022-09-05,0.0,0.0,0.0,9.06,NaN,18.8,54.92,0.02,0.01,0.126,0.0,0.042,Normal
2022-09-06,NaN,18.99,18.99,8.53,0.0,21.44,44.65,0.057,0.01,0.126,0.0,NaN,Elevated
2022-09-07,0.0,18.99,18.99,6.74,0.0,16.97,55.1,0.02,0.01,0.126,0.005,0.0,Elevated
2022-09-08,0.0,18.99,18.99,8.3,0.0,18.46,46.82,NaN,0.031,0.093,0.0,0.03,Elevated
2022-09-09,0.0,0.0,18.99,7.28,0.0,NaN,52.85,0.115,0.058,0.139,0.0,NaN,Elevated
2022-09-10,0.0,0.0,18.99,7.84,0.0,19.41,45.17,0.109,0.066,0.195,0.0,0.022,Elevated
2022-09-11,0.0,0.0,18.99,8.5,0.0,20.77,49.63,0.054,0.056,0.241,0.044,0.047,Elevated
2022-09-12,0.0,0.0,18.99,NaN,0.0,17.84,NaN,0.11,0.061,0.292,0.0,0.023,Elevated
2022-09-13,0.0,0.0,0.0,8.33,0.0,14.33,63.83,NaN,0.01,0.292,NaN,0.072,Normal
2022-09-14,0.0,0.0,0.0,8.94,0.0,17.46,50.28,0.031,0.025,0.306,0.0,0.046,Normal
2022-09-15,10.29,10.29,10.29,7.42,0.0,20.02,46.39,0.06,0.042,0.317,0.034,0.2,Normal
2022-09-16,0.0,10.29,10.29,9.31,0.0,19.33,NaN,0.054,0.01,0.269,0.0,0.073,Normal
2022-09-17,0.0,10.29,NaN,8.37,0.0,19.14,51.23,0.051,0.049,0.252,0.0,0.0,Normal
2022-09-18,0.0,0.0,10.29,9.3,0.0,18.01,52.46,0.086,0.021,0.218,0.0,0.013,Normal
2022-09-19,0.0,0.0,10.29,8.15,NaN,NaN,51.09,0.051,0.01,0.167,0.001,0.097,Normal
2022-09-20,0.0,0.0,10.29,8.15,0.0,19.27,49.38,0.071,0.058,0.215,0.041,NaN,Normal
2022-09-21,0.0,0.0,NaN,7.99,0.0,17.1,58.17,0.082,0.01,0.2,0.075,0.116,Normal
2022-09-22,0.0,0.0,0.0,NaN,0.0,21.57,49.97,NaN,0.01,0.168,NaN,0.0,Normal
2022-09-23,0.0,0.0,0.0,8.46,0.0,18.98,54.73,0.02,0.029,0.187,0.0,0.0,Normal
2022-09-24,0.0,0.0,0.0,NaN,0.0,17.13,55.71,NaN,0.01,0.148,0.044,0.0,Normal
2022-09-25,0.0,0.0,0.0,8.7,0.0,17.08,52.77,0.045,0.017,0.143,0.0,0.0,Normal
2022-09-26,30.3,30.3,30.3,6.16,0.0,20.01,50.0,0.089,0.01,0.143,0.02,0.081,Elevated
2022-09-27,0.0,NaN,30.3,7.21,0.0,19.38,49.77,0.098,0.041,NaN,0.054,0.054,Elevated
2022-09-28,0.0,30.3,30.3,6.83,0.0,21.19,53.88,0.094,0.067,0.183,NaN,0.097,Elevated
2022-09-29,0.0,0.0,30.3,7.71,0.0,NaN,45.58,0.149,0.044,0.217,0.054,0.118,Elevated
2022-09-30,0.0,0.0,30.3,6.87,0.0,17.93,53.72,NaN,0.025,0.214,0.093,0.0,Elevated
2022-10-01,0.0,0.0,30.3,8.36,0.0,22.12,42.49,0.02,0.08,0.284,0.075,0.051,Elevated
2022-10-02,0.0,0.0,30.3,7.65,0.0,19.17,51.01,0.07,0.01,0.277,0.036,0.052,Elevated
2022-10-03,0.0,0.0,0.0,8.86,0.0,19.26,55.92,0.027,0.01,0.277,0.072,NaN,Normal
2022-10-04,0.0,0.0,0.0,9.44,0.0,17.05,49.12,0.051,0.034,0.27,NaN,0.004,Normal
2022-10-05,0.0,0.0,0.0,9.66,0.0,18.6,NaN,0.06,0.042,0.245,0.097,0.039,Normal
2022-10-06,0.0,0.0,0.0,8.97,0.0,18.52,53.1,0.085,0.02,0.221,0.0,NaN,Normal
2022-10-07,NaN,0.0,0.0,8.43,0.0,15.14,56.96,0.02,0.01,0.206,0.0,0.017,Normal
2022-10-08,8.13,8.13,8.13,7.36,0.0,21.89,47.53,0.035,0.055,0.181,0.0,0.08,Normal
2022-10-09,0.0,8.13,8.13,8.17,0.0,20.36,52.06,0.07,0.067,0.238,0.017,0.082,Normal
2022-10-10,0.0,8.13,8.13,8.22,0.0,17.66,51.58,0.082,0.068,0.296,0.0,0.045,Normal
2022-10-11,0.0,0.0,8.13,8.73,0.0,16.53,54.38,0.122,0.057,0.319,0.0,0.052,Normal
2022-10-12,0.0,0.0,8.13,8.41,0.0,18.85,51.84,0.078,0.046,0.323,0.013,NaN,Normal
2022-10-13,0.0,0.0,8.13,NaN,NaN,18.43,52.38,0.043,0.014,0.316,0.0,0.067,Normal
2022-10-14,0.0,0.0,8.13,8.23,0.0,18.86,48.82,0.02,0.01,0.316,NaN,NaN,Normal
2022-10-15,0.0,0.0,0.0,8.96,0.0,18.31,NaN,0.02,0.027,NaN,0.0,0.0,Normal
2022-10-16,0.0,0.0,0.0,9.83,0.0,18.81,NaN,0.02,0.01,0.231,0.048,0.0,Normal
2022-10-17,0.0,0.0,0.0,9.24,0.0,20.32,53.68,0.063,0.071,0.234,0.089,0.005,Normal
2022-10-18,0.0,0.0,0.0,8.96,0.0,18.91,51.87,0.049,0.025,0.202,0.035,0.025,Normal
2022-10-19,0.0,0.0,0.0,8.58,0.0,16.32,56.38,0.02,0.06,0.217,0.065,0.11,Normal
2022-10-20,0.0,0.0,0.0,8.56,0.0,20.18,53.27,0.025,0.045,0.248,0.091,0.133,Normal
2022-10-21,NaN,0.0,0.0,8.4,0.0,20.62,48.83,0.071,0.061,0.299,0.071,0.125,Normal
2022-10-22,0.0,0.0,0.0,8.6,NaN,23.19,45.8,0.052,0.01,0.282,0.029,0.011,Normal
2022-10-23,0.0,0.0,0.0,9.53,0.0,16.2,57.74,0.06,NaN,0.327,0.0,0.0,Normal
2022-10-24,0.0,0.0,0.0,8.84,0.0,18.39,59.24,0.053,0.025,0.28,0.0,0.0,Normal
2022-10-25,0.0,0.0,0.0,8.05,NaN,14.67,60.18,0.097,0.01,NaN,0.003,0.0,Normal
2022-10-26,0.0,0.0,0.0,10.24,0.0,18.89,54.58,0.048,0.021,0.226,0.059,0.043,Normal
2022-10-27,0.0,0.0,0.0,9.22,NaN,17.13,57.68,0.026,0.016,0.197,0.016,0.002,Normal
2022-10-28,0.0,0.0,0.0,8.01,0.0,21.08,54.7,0.02,0.049,0.186,0.035,0.071,Normal
2022-10-29,0.0,0.0,0.0,8.68,0.0,16.79,60.38,0.049,0.091,0.267,0.0,0.0,Normal
2022-10-30,0.0,0.0,0.0,9.07,0.0,15.3,70.57,0.02,0.034,0.245,0.0,0.002,Normal
2022-10-31,0.0,0.0,0.0,10.19,0.0,17.25,65.19,NaN,0.01,0.231,0.076,0.0,Normal
2022-11-01,0.0,0.0,0.0,8.22,0.0,14.85,68.28,0.033,0.042,0.263,0.004,0.0,Normal
2022-11-02,8.44,8.44,8.44,9.3,0.0,19.66,52.58,0.02,0.017,0.259,0.0,0.035,Normal
2022-11-03,0.0,8.44,8.44,NaN,0.0,15.01,NaN,0.023,0.015,0.258,0.0,0.038,Normal
2022-11-04,NaN,8.44,8.44,8.2,0.0,18.36,47.27,0.084,0.016,0.225,0.089,0.047,Normal
2022-11-05,0.0,0.0,8.44,8.44,0.0,14.99,51.93,0.053,0.046,0.18,0.0,0.023,Normal
2022-11-06,16.44,16.44,24.88,7.14,0.0,NaN,52.91,0.078,0.045,0.191,0.06,0.109,Elevated
2022-11-07,0.0,16.44,24.88,7.75,0.0,21.87,43.9,0.085,0.034,NaN,0.0,0.051,Elevated
2022-11-08,0.0,NaN,24.88,7.91,0.0,19.48,44.82,0.078,0.042,0.215,0.0,0.006,Elevated
2022-11-09,0.0,0.0,16.44,8.75,0.0,17.23,51.0,0.093,0.01,0.208,0.012,0.053,Normal
2022-11-10,0.0,0.0,16.44,9.05,0.0,18.56,50.5,0.054,0.01,0.202,0.0,0.0,Normal
2022-11-11,0.0,0.0,16.44,7.76,0.0,18.64,NaN,0.02,0.042,0.228,0.076,0.116,Normal
2022-11-12,0.0,0.0,16.44,6.91,0.0,19.37,51.97,0.107,0.078,0.26,0.072,0.0,Normal
2022-11-13,0.0,0.0,0.0,8.96,0.0,15.86,54.05,0.053,0.059,0.274,0.092,0.0,Normal
2022-11-14,0.0,0.0,0.0,9.16,0.0,19.08,55.61,0.02,0.033,0.273,0.013,0.051,Normal
2022-11-15,0.0,0.0,0.0,9.14,0.0,14.0,NaN,0.02,0.019,0.251,0.002,0.049,Normal
2022-11-16,0.0,0.0,0.0,8.74,0.0,17.05,56.09,0.054,0.029,0.269,0.007,0.015,Normal
2022-11-17,0.0,0.0,0.0,9.05,0.0,17.28,58.94,0.036,0.072,0.331,0.15,0.071,Normal
2022-11-18,0.0,0.0,0.0,10.02,0.0,19.08,NaN,0.095,0.01,0.299,0.0,0.083,Normal
2022-11-19,0.0,0.0,0.0,NaN,0.0,18.15,54.77,0.028,0.01,0.232,0.067,0.086,Normal
2022-11-20,NaN,0.0,0.0,8.69,0.0,15.83,61.57,0.02,0.04,0.212,0.0,0.0,Normal
2022-11-21,0.0,0.0,0.0,8.6,0.0,16.51,56.57,0.071,0.01,0.189,0.0,0.075,Normal
2022-11-22,0.0,0.0,0.0,8.83,0.0,18.42,56.31,0.072,0.019,0.19,0.007,0.0,Normal
2022-11-23,0.0,0.0,NaN,10.09,0.0,17.97,60.26,0.046,0.038,0.199,NaN,NaN,Normal
2022-11-24,0.0,NaN,0.0,8.81,0.0,NaN,66.38,0.064,0.01,0.137,0.0,0.111,Normal
2022-11-25,0.48,0.48,0.48,8.9,0.0,17.35,53.95,0.04,0.014,0.142,0.101,0.006,Normal
2022-11-26,10.53,11.01,NaN,8.13,0.0,19.61,50.24,0.068,0.058,0.189,NaN,0.02,Normal
2022-11-27,0.0,11.01,11.01,9.24,0.0,17.68,53.08,0.101,0.011,0.16,0.061,0.012,Normal
2022-11-28,0.0,10.53,11.01,9.84,0.0,18.37,47.57,0.081,NaN,0.211,0.042,0.01,Normal
2022-11-29,0.0,0.0,11.01,8.78,0.0,21.99,NaN,0.041,0.01,0.201,0.047,0.041,Normal
2022-11-30,NaN,0.0,11.01,8.52,0.0,16.24,54.19,0.094,NaN,0.175,0.0,0.0,Normal
2022-12-01,0.0,0.0,11.01,8.48,0.0,15.57,56.51,0.02,0.058,0.223,0.046,0.0,Normal
2022-12-02,2.57,2.57,13.1,6.69,0.0,19.86,48.68,0.123,0.01,0.219,0.022,0.0,Normal
2022-12-03,1.15,3.72,3.72,9.27,0.0,17.2,53.19,0.02,0.01,0.171,0.076,0.0,Normal
2022-12-04,0.0,3.72,3.72,8.84,0.0,17.79,50.73,0.025,0.05,0.211,0.061,0.08,Normal
2022-12-05,6.74,NaN,10.46,8.76,0.0,17.29,51.63,NaN,0.024,0.174,NaN,0.074,Normal
2022-12-06,7.4,14.14,17.86,7.65,0.0,18.39,45.76,0.063,0.018,0.182,0.0,0.061,Normal
2022-12-07,6.7,20.84,24.56,7.57,0.0,21.72,44.41,0.115,0.01,0.181,0.089,0.09,Elevated
2022-12-08,0.0,14.1,24.56,7.57,0.0,20.34,51.89,0.035,0.025,NaN,0.0,0.055,Elevated
2022-12-09,0.0,6.7,21.99,8.67,0.0,20.35,49.03,0.07,0.058,0.195,0.0,NaN,Elevated
2022-12-10,0.0,0.0,20.84,7.74,0.0,16.67,52.67,0.032,0.01,0.195,0.019,0.0,Elevated
2022-12-11,NaN,0.0,20.84,9.46,NaN,17.1,NaN,0.063,0.01,0.155,0.0,0.098,Elevated
2022-12-12,0.0,0.0,14.1,8.58,0.0,14.18,52.53,0.046,0.028,0.159,0.0,0.0,Normal
2022-12-13,18.63,18.63,25.33,6.84,0.0,NaN,45.74,0.081,0.041,0.183,0.059,0.003,Elevated
2022-12-14,0.0,18.63,18.63,7.91,0.0,20.99,52.55,0.054,0.077,0.25,0.069,0.145,Elevated
2022-12-15,2.98,21.61,21.61,7.46,0.0,20.08,47.65,NaN,0.041,0.267,0.044,0.09,Elevated
2022-12-16,4.12,7.1,25.73,6.18,0.0,19.16,47.52,0.074,0.013,0.222,0.125,0.012,Elevated
2022-12-17,1.58,8.68,27.32,8.78,0.0,19.47,43.99,0.1,0.01,0.221,0.045,0.091,Elevated
2022-12-18,0.0,5.7,27.32,8.17,0.0,18.2,51.15,0.042,0.018,NaN,0.067,0.122,Elevated
2022-12-19,0.0,1.58,27.32,8.05,0.0,19.64,50.22,0.028,0.017,0.218,0.0,NaN,Elevated
2022-12-20,0.0,0.0,NaN,8.58,0.0,19.82,46.4,0.067,0.024,0.2,0.0,0.069,Normal
2022-12-21,0.0,NaN,8.68,7.49,0.0,16.02,54.24,0.044,0.042,0.165,0.0,0.044,Normal
2022-12-22,0.0,0.0,5.7,NaN,0.0,18.99,50.82,0.072,0.01,0.133,0.02,0.0,Normal
2022-12-23,53.69,53.69,55.27,6.79,NaN,23.79,41.87,0.106,0.01,0.13,NaN,0.149,Elevated
2022-12-24,23.58,77.27,77.27,4.45,0.84,23.06,34.03,0.177,0.091,0.212,0.026,0.314,Watch
2022-12-25,0.0,77.27,77.27,3.49,1.8,24.28,37.36,0.29,0.052,0.246,0.026,NaN,Watch
2022-12-26,0.0,23.58,77.27,5.18,0.27,27.06,38.72,0.107,0.043,0.273,0.057,0.173,Watch
2022-12-27,0.0,0.0,77.27,5.29,NaN,22.0,41.78,0.084,0.044,0.293,0.04,0.041,Watch
2022-12-28,0.0,0.0,77.27,5.54,0.0,22.37,42.24,0.064,0.01,0.261,0.039,0.066,Watch
2022-12-29,0.0,NaN,77.27,5.99,0.0,20.27,45.33,0.112,0.01,0.261,0.0,0.011,Watch
2022-12-30,0.0,0.0,23.58,8.19,0.0,19.79,47.74,0.044,0.01,0.261,NaN,0.011,Elevated
2022-12-31,7.33,7.33,7.33,8.61,0.0,19.65,47.5,0.058,0.048,0.218,0.0,0.086,Normal
2023-01-01,6.24,13.57,13.57,8.99,0.0,19.46,NaN,0.07,0.022,0.188,0.0,0.0,Normal
2023-01-02,20.58,34.15,34.15,6.14,0.0,18.82,53.3,0.108,0.067,0.211,0.065,0.099,Elevated
2023-01-03,0.0,26.81,34.15,7.58,0.0,20.61,49.53,NaN,0.042,0.21,0.047,0.159,Elevated
2023-01-04,0.0,NaN,34.15,7.74,0.0,NaN,48.26,0.103,0.038,0.238,0.006,0.083,Elevated
2023-01-05,0.0,0.0,NaN,6.44,0.0,20.36,48.81,0.033,0.065,0.292,0.039,0.018,Elevated
2023-01-06,0.0,0.0,34.15,6.25,0.0,21.19,43.52,0.109,0.013,0.295,0.0,0.027,Elevated
2023-01-07,19.39,19.39,46.2,6.16,0.0,20.42,45.38,0.083,0.025,0.272,0.019,0.177,Elevated
2023-01-08,NaN,34.6,55.18,5.81,0.0,22.57,NaN,0.069,0.01,0.259,0.021,0.0,Elevated
2023-01-09,16.34,50.95,50.95,6.96,NaN,21.76,39.64,NaN,0.052,0.244,0.0,0.165,Elevated
2023-01-10,0.0,31.56,50.95,NaN,0.0,19.58,48.63,NaN,0.019,0.221,0.033,NaN,Elevated
2023-01-11,NaN,16.34,50.95,5.9,0.0,21.24,52.53,0.113,0.069,0.253,0.0,0.031,Elevated
2023-01-12,0.0,0.0,50.95,6.13,0.0,18.75,51.79,0.148,0.036,0.224,0.047,0.14,Elevated
2023-01-13,7.32,7.32,58.26,7.02,0.0,19.58,50.22,0.056,0.055,0.266,0.033,0.039,Watch
2023-01-14,14.36,21.67,53.23,6.41,0.0,21.07,45.01,0.11,0.045,NaN,0.068,NaN,Elevated
2023-01-15,NaN,21.67,38.02,6.95,0.0,20.4,49.59,0.027,0.01,0.286,0.048,0.0,Elevated
2023-01-16,0.0,NaN,21.67,7.69,0.0,17.41,49.11,0.086,0.01,0.245,0.08,0.0,Elevated
2023-01-17,0.0,NaN,21.67,8.66,0.0,21.01,50.23,0.022,0.01,NaN,0.0,0.0,Elevated
2023-01-18,0.0,0.0,21.67,7.23,0.0,20.25,51.07,0.031,0.025,0.191,0.056,0.072,Elevated
2023-01-19,0.0,NaN,21.67,8.67,0.0,18.22,52.67,0.02,0.029,NaN,0.0,0.158,Elevated
2023-01-20,0.0,0.0,14.36,8.19,0.0,16.64,58.66,0.074,0.074,0.202,0.042,0.111,Normal
2023-01-21,0.0,0.0,0.0,8.53,0.0,18.38,52.08,0.075,0.043,0.2,0.018,0.009,Normal
2023-01-22,0.0,NaN,0.0,10.39,0.0,17.91,54.17,NaN,0.035,0.226,0.0,0.0,Normal
2023-01-23,0.0,0.0,0.0,7.89,0.0,NaN,54.45,0.02,0.032,0.247,0.027,0.031,Normal
2023-01-24,0.0,0.0,0.0,NaN,0.0,18.06,52.14,0.096,0.034,0.271,0.079,0.041,Normal
2023-01-25,0.0,0.0,0.0,7.76,0.0,15.44,59.59,NaN,0.027,0.274,0.001,0.0,Normal
2023-01-26,60.21,NaN,60.21,6.44,0.0,22.32,36.91,0.073,0.042,0.287,0.077,NaN,Watch
2023-01-27,0.0,60.21,60.21,7.0,0.0,22.12,46.42,0.164,0.024,0.237,0.0,0.16,Watch
2023-01-28,0.0,60.21,60.21,7.01,0.0,23.46,42.09,0.11,0.01,0.204,0.087,0.212,Watch
2023-01-29,17.81,17.81,78.03,5.88,0.0,22.41,39.49,0.143,0.01,0.179,0.0,0.172,Watch
2023-01-30,22.75,NaN,100.77,3.84,1.59,27.62,25.62,NaN,0.032,0.178,0.04,0.227,Watch
2023-01-31,11.8,52.37,112.58,3.22,2.22,22.31,30.71,0.352,0.055,NaN,0.102,0.109,Watch
2023-02-01,NaN,34.55,112.58,NaN,NaN,27.22,24.93,0.432,0.188,0.361,NaN,0.16,Warning
2023-02-02,0.0,11.8,52.37,7.5,0.0,22.29,45.55,0.043,NaN,0.385,0.054,0.0,Elevated
2023-02-03,0.0,0.0,52.37,6.47,0.0,23.53,40.54,0.052,0.042,0.404,0.09,0.102,Elevated
2023-02-04,0.0,NaN,52.37,5.82,0.0,22.14,42.1,0.069,0.014,0.408,0.014,0.0,Elevated
2023-02-05,0.0,0.0,34.55,7.86,NaN,23.0,47.51,0.115,0.076,0.474,0.035,0.083,Elevated
2023-02-06,0.0,0.0,11.8,7.25,NaN,19.41,49.12,0.024,0.087,0.529,0.047,0.017,Normal
2023-02-07,NaN,0.0,0.0,8.76,0.0,17.54,54.96,0.02,0.041,0.515,0.035,0.031,Normal
2023-02-08,0.0,0.0,0.0,8.37,0.0,21.39,51.15,NaN,0.054,0.381,0.057,0.0,Normal
2023-02-09,0.0,0.0,0.0,8.95,0.0,NaN,NaN,0.02,0.026,0.34,0.042,0.0,Normal
2023-02-10,0.0,0.0,0.0,8.48,0.0,19.18,56.88,0.045,0.01,0.308,0.0,0.063,Normal
2023-02-11,0.0,0.0,0.0,7.51,0.0,20.8,48.66,0.02,0.039,0.333,0.0,0.045,Normal
2023-02-12,0.0,0.0,0.0,8.56,NaN,17.24,51.1,0.118,0.058,0.315,0.076,0.031,Normal
2023-02-13,0.0,0.0,0.0,9.24,0.0,19.82,52.85,0.02,0.054,0.282,0.102,0.081,Normal
2023-02-14,22.33,22.33,22.33,7.44,0.0,19.44,53.96,0.069,0.01,0.251,0.002,0.0,Elevated
2023-02-15,0.0,22.33,22.33,8.01,0.0,20.07,54.36,0.079,0.041,NaN,0.007,0.107,Elevated
2023-02-16,0.0,22.33,22.33,6.79,0.0,20.03,54.22,0.147,0.058,0.27,0.055,0.044,Elevated
2023-02-17,0.0,0.0,22.33,7.51,0.0,17.38,51.2,0.02,0.072,0.332,0.088,0.052,Elevated
2023-02-18,0.0,NaN,22.33,7.08,0.0,18.61,45.12,0.123,NaN,0.312,0.02,0.027,Elevated
2023-02-19,0.0,0.0,NaN,8.06,0.0,21.84,NaN,0.08,0.037,0.291,0.027,0.082,Elevated
2023-02-20,31.32,31.32,53.65,6.11,0.0,23.14,39.93,0.124,0.01,0.247,0.052,0.038,Elevated
2023-02-21,0.0,31.32,31.32,7.55,0.0,20.51,46.17,0.062,0.06,0.297,0.058,NaN,Elevated
2023-02-22,56.28,87.6,87.6,5.2,0.0,24.8,41.94,0.218,0.031,0.287,0.071,0.142,Watch
2023-02-23,0.0,56.28,87.6,4.99,0.1,23.44,42.21,0.142,0.036,0.265,0.025,0.165,Watch
2023-02-24,NaN,NaN,116.46,3.38,1.98,27.83,26.43,0.399,0.126,0.319,0.061,0.37,Watch
2023-02-25,15.21,44.08,131.67,1.85,3.21,25.85,19.96,0.369,0.422,NaN,0.217,0.534,Warning
2023-02-26,0.0,44.08,131.67,NaN,2.6,26.13,21.88,0.355,0.364,1.048,0.138,0.369,Warning
2023-02-27,0.0,15.21,100.35,3.58,1.82,26.25,NaN,0.23,0.101,1.139,0.081,0.031,Watch
2023-02-28,0.0,0.0,NaN,3.77,1.35,22.71,38.25,0.163,0.075,1.154,0.015,0.113,Watch
2023-03-01,0.0,0.0,44.08,6.12,0.0,24.39,44.03,0.092,0.057,1.181,0.107,0.03,Elevated
2023-03-02,29.68,29.68,73.76,4.31,1.21,21.43,35.15,0.225,0.015,1.16,0.0,0.11,Watch
2023-03-03,0.0,29.68,44.89,4.87,0.14,25.23,42.07,0.155,0.026,1.061,0.015,0.136,Elevated
2023-03-04,0.0,29.68,29.68,6.47,0.0,21.05,48.06,NaN,0.013,0.652,0.0,0.121,Elevated
2023-03-05,0.0,0.0,29.68,7.1,0.0,21.07,43.67,0.095,0.01,0.297,0.004,0.0,Elevated
2023-03-06,NaN,0.0,29.68,6.08,0.0,18.0,48.54,0.146,0.022,0.219,0.0,0.036,Elevated
2023-03-07,0.0,NaN,29.68,7.05,0.0,20.17,51.17,0.042,0.01,0.154,0.0,0.0,Elevated
2023-03-08,95.54,95.54,125.23,3.85,1.37,26.11,28.41,0.395,0.299,0.396,0.16,0.497,Watch
2023-03-09,0.0,95.54,95.54,NaN,0.83,NaN,39.42,0.263,0.096,0.476,0.08,0.407,Watch
2023-03-10,0.0,95.54,95.54,5.08,0.0,25.32,39.11,0.164,0.041,0.491,0.102,0.298,Watch
2023-03-11,NaN,0.0,NaN,4.28,1.16,26.5,31.08,0.17,0.03,0.508,0.089,0.0,Watch
2023-03-12,0.0,0.0,95.54,4.87,0.33,24.98,37.59,0.158,0.067,0.564,0.0,0.098,Watch
2023-03-13,0.0,NaN,95.54,3.61,1.69,24.64,34.01,0.19,0.02,0.562,0.0,0.0,Watch
2023-03-14,109.86,109.86,205.41,0.35,NaN,30.28,4.72,0.629,1.282,1.834,0.92,1.237,Emergency
2023-03-15,28.19,138.06,138.06,0.35,NaN,28.47,11.32,0.649,1.273,2.809,0.796,1.359,Emergency
2023-03-16,26.72,164.77,164.77,1.38,3.72,34.11,11.67,0.604,1.602,4.314,0.995,1.608,Emergency
2023-03-17,160.0,214.91,324.77,0.35,5.12,40.97,2.0,0.82,3.637,7.911,2.546,3.05,Emergency
2023-03-18,0.0,186.72,NaN,0.35,5.02,43.56,2.0,0.82,NaN,12.479,3.28,3.6,Emergency
2023-03-19,36.19,196.19,360.96,0.35,5.14,42.1,NaN,0.82,5.139,17.552,3.683,4.092,Emergency
2023-03-20,0.0,36.19,360.96,0.35,5.01,41.19,NaN,0.645,4.447,21.979,2.874,3.156,Emergency
2023-03-21,0.0,NaN,251.1,0.35,4.98,38.05,2.0,0.6,3.354,24.051,2.073,2.538,Emergency
2023-03-22,0.0,0.0,222.9,0.35,NaN,36.44,2.0,0.475,2.603,25.38,1.562,NaN,Emergency
2023-03-23,0.0,0.0,196.19,0.35,4.9,32.33,3.84,0.556,1.935,25.714,1.194,1.308,Emergency
2023-03-24,0.0,0.0,36.19,6.32,0.0,25.36,36.95,0.04,NaN,22.748,0.284,0.528,Emergency
2023-03-25,0.0,0.0,36.19,5.97,0.0,NaN,42.07,0.101,0.219,18.368,0.069,0.12,Warning
2023-03-26,10.09,10.09,10.09,7.36,0.0,24.49,41.57,0.05,0.099,13.328,0.115,0.159,Warning
2023-03-27,23.47,33.56,NaN,6.6,0.0,26.32,41.24,0.107,0.072,8.952,0.109,0.111,Warning
2023-03-28,0.0,33.56,33.56,6.23,0.0,24.32,43.06,0.083,0.115,5.714,NaN,0.219,Warning
2023-03-29,0.0,23.47,33.56,6.36,0.0,24.73,38.4,0.053,0.064,3.175,0.074,0.059,Watch
2023-03-30,11.43,11.43,44.99,5.8,0.0,26.82,36.97,0.02,0.01,1.249,0.053,0.0,Elevated
2023-03-31,37.73,NaN,NaN,4.9,0.44,27.08,32.8,0.143,0.06,NaN,0.015,0.087,Watch
2023-04-01,15.66,64.82,98.38,3.86,1.27,27.51,23.97,0.257,0.134,0.554,0.056,0.231,Watch
2023-04-02,0.0,53.39,88.29,4.21,1.02,NaN,32.76,0.238,0.058,0.514,0.054,0.171,Watch
2023-04-03,81.77,97.44,146.6,0.35,4.91,26.73,12.56,NaN,0.91,1.352,0.62,NaN,Emergency
2023-04-04,0.0,81.77,NaN,1.06,4.53,30.8,16.67,0.536,0.729,1.966,0.393,0.709,Warning
