Significant Wave Height (m),Peak Wave Period (s),Mean Spring Tidal Range (m),Extreme Storm Surge (m),Beach Width (m),Beach Face Slope (-),Median Grain Size D50 (mm),Dune Crest Elevation (m),Nearshore Bathymetric Slope (-),Historical Shoreline Change Rate (m/yr),Sediment Budget Balance (m3/m/yr),Vegetation Cover (%),Relative Sea-Level Rise (mm/yr),Coastal Erosion Risk Class
NaN,13.69,NaN,NaN,12.34,0.04,0.606,2.09,0.0344,NaN,-7.39,0.0,2.36,High Susceptibility
3.25,12.75,0.78,1.94,84.0,0.0287,0.341,7.76,0.0203,0.09,NaN,32.4,4.57,Low Susceptibility
2.64,10.37,NaN,1.49,76.79,0.077,NaN,8.93,0.06,1.71,8.53,48.5,1.24,Stable or Accreting
2.04,10.83,1.11,1.4,63.69,0.0422,0.395,4.76,NaN,-0.26,1.83,37.5,6.61,Low Susceptibility
2.0,11.93,0.35,1.25,58.84,0.0271,0.12,5.67,0.0102,-1.83,-10.6,29.5,5.42,Moderate Susceptibility
1.45,7.94,0.95,1.58,83.87,0.0487,0.782,8.81,0.0395,-1.3,-6.02,52.0,4.27,Low Susceptibility
2.68,10.67,NaN,1.13,38.48,0.0252,0.253,2.25,0.0243,-0.75,1.69,NaN,3.15,High Susceptibility
2.94,13.62,0.62,1.84,28.22,0.0627,1.178,2.7,0.05,-3.16,-11.21,0.0,4.47,High Susceptibility
2.01,9.31,4.05,1.02,31.73,0.0364,NaN,2.57,0.0289,0.16,3.4,20.6,5.64,High Susceptibility
1.94,10.41,1.28,NaN,49.62,0.0525,0.606,4.66,0.0483,-0.28,0.79,16.4,3.31,Moderate Susceptibility
2.87,12.93,NaN,1.17,37.64,0.037,0.321,4.16,0.0265,-3.27,-14.78,0.0,3.27,High Susceptibility
3.35,13.65,0.92,1.73,63.03,0.0341,0.521,6.65,0.0293,-0.63,-1.94,19.1,2.97,Low Susceptibility
1.72,8.15,5.03,0.97,99.28,0.032,0.678,8.5,0.0212,-1.47,-6.91,47.1,5.54,Low Susceptibility
1.72,9.48,0.54,1.26,118.81,0.0444,0.422,10.83,0.0227,3.6,22.0,56.3,2.12,Stable or Accreting
2.65,9.57,3.99,1.6,12.3,0.0177,0.165,2.05,0.0216,-0.29,-2.31,0.5,4.16,High Susceptibility
2.65,10.26,4.32,1.55,56.32,0.0434,0.428,5.88,0.0246,NaN,-3.74,27.4,5.4,Moderate Susceptibility
1.53,9.82,0.46,1.8,NaN,0.015,NaN,2.79,0.0131,-4.92,-17.64,0.0,7.86,Critical Erosion Hotspot
2.06,11.38,0.4,1.51,16.75,0.0266,0.449,2.84,0.025,-3.46,NaN,0.0,6.63,High Susceptibility
1.76,8.55,NaN,1.12,94.03,0.0266,0.316,10.15,0.0219,2.14,7.08,70.2,3.26,Stable or Accreting
2.29,9.49,3.17,0.76,61.41,0.0343,0.605,NaN,0.0309,NaN,-2.46,18.1,4.73,Low Susceptibility
2.54,10.12,0.7,1.98,59.37,0.0375,0.308,5.64,0.0315,-0.06,2.26,43.0,4.88,Low Susceptibility
2.02,7.99,NaN,1.21,61.01,0.0299,0.516,5.03,0.0335,-1.87,-12.46,32.7,3.7,Moderate Susceptibility
2.61,9.3,NaN,2.05,19.37,0.0411,0.267,4.3,0.0261,-5.22,-22.94,0.0,6.94,Critical Erosion Hotspot
2.63,NaN,4.79,1.2,114.82,0.0242,0.12,9.03,NaN,3.01,15.04,59.8,2.59,Stable or Accreting
2.83,12.06,1.83,1.22,59.05,NaN,NaN,6.46,0.0494,-1.87,-5.98,NaN,2.31,Moderate Susceptibility
1.66,7.37,0.74,1.33,76.63,0.0394,0.468,3.76,NaN,2.66,16.56,37.9,7.08,Moderate Susceptibility
1.81,12.67,0.42,1.51,51.19,0.043,0.868,NaN,0.0335,-1.8,-9.76,18.6,4.02,Moderate Susceptibility
1.97,11.92,0.58,NaN,18.52,0.0309,0.212,2.3,0.0168,-2.69,-11.3,0.0,5.47,Critical Erosion Hotspot
1.41,9.58,1.35,0.9,79.24,0.0737,1.176,9.57,0.06,-0.28,-2.01,57.9,1.3,Low Susceptibility
3.33,11.46,0.46,2.36,36.26,0.031,0.321,5.72,0.0253,-5.12,-23.72,4.0,4.14,High Susceptibility
3.02,12.87,0.68,2.35,78.21,0.0521,0.769,9.1,0.0483,0.06,2.02,61.2,4.14,Low Susceptibility
1.79,8.44,NaN,NaN,91.52,NaN,0.498,7.64,0.0257,1.23,9.94,32.4,4.16,Stable or Accreting
3.13,14.84,0.2,2.49,8.0,0.0513,0.705,0.96,0.042,-4.85,-13.49,0.0,6.38,Critical Erosion Hotspot
1.09,9.42,NaN,0.8,54.07,0.022,0.233,3.62,0.0255,2.45,16.45,NaN,4.12,Moderate Susceptibility
2.7,NaN,4.27,1.26,46.54,0.0295,0.293,2.96,0.0248,NaN,-6.16,0.0,5.01,High Susceptibility
1.88,9.69,1.17,1.17,111.15,0.0492,0.596,8.18,0.0294,3.6,18.68,53.3,NaN,Stable or Accreting
3.03,13.69,0.8,1.92,46.92,0.0357,0.18,4.66,0.0207,-1.11,-3.98,0.0,3.19,Moderate Susceptibility
NaN,9.8,5.23,1.37,78.35,0.0353,0.374,7.7,0.0239,-1.75,-11.69,26.8,5.22,Moderate Susceptibility
2.54,9.35,3.08,NaN,25.29,0.0278,0.267,3.53,0.0176,-1.03,-3.13,12.2,5.91,High Susceptibility
1.93,10.93,4.29,NaN,85.88,NaN,0.495,NaN,0.0274,-0.77,-2.33,43.5,7.13,Low Susceptibility
NaN,12.28,1.06,1.64,58.63,0.0393,0.626,7.39,0.0313,-2.45,-10.18,29.2,4.25,Moderate Susceptibility
1.35,6.94,0.91,0.62,78.14,0.0154,0.162,5.92,NaN,2.96,14.29,35.4,1.0,Stable or Accreting
1.65,9.64,0.28,1.47,37.07,0.015,0.157,1.96,0.0128,-3.09,-11.1,3.8,8.05,High Susceptibility
1.97,8.73,4.92,1.18,97.14,0.0376,0.491,7.31,0.0305,0.89,8.73,53.2,4.06,Stable or Accreting
3.13,12.64,0.3,1.94,45.29,NaN,0.362,4.23,0.0323,-2.65,-13.04,0.0,4.0,High Susceptibility
2.15,11.39,4.27,1.18,76.23,0.015,0.136,NaN,0.0117,1.45,NaN,40.3,5.47,Low Susceptibility
2.34,11.18,0.45,1.91,31.01,0.0543,0.56,2.62,0.0379,-1.45,-3.19,12.8,6.22,High Susceptibility
2.73,12.63,0.21,1.68,24.79,0.0306,0.312,2.94,0.0245,-4.55,-16.93,0.0,5.41,Critical Erosion Hotspot
3.04,12.71,3.74,2.08,48.62,0.0483,0.888,4.99,0.0457,-2.84,-11.47,0.0,6.71,High Susceptibility
3.07,12.68,0.64,1.81,55.55,0.0204,0.318,6.11,0.0211,-2.18,-6.82,13.8,3.04,Moderate Susceptibility
2.74,11.08,0.2,1.82,29.23,0.0445,0.601,1.4,0.033,-1.68,-9.95,NaN,2.07,Critical Erosion Hotspot
0.97,8.94,0.43,0.53,97.9,0.0348,0.39,6.17,NaN,NaN,20.51,38.6,3.02,Stable or Accreting
2.63,10.98,5.27,1.22,29.97,NaN,0.224,0.8,0.0187,0.18,5.77,15.4,7.24,Critical Erosion Hotspot
1.22,8.94,1.09,1.31,88.5,0.036,0.3,5.52,0.0273,2.53,18.14,24.5,3.87,Low Susceptibility
1.82,10.09,3.34,1.73,49.68,0.0421,0.559,2.43,0.0347,-1.66,2.51,18.3,7.43,High Susceptibility
3.6,13.34,1.55,1.21,79.44,0.0491,0.366,7.98,0.0412,-2.04,-5.44,25.5,3.11,Moderate Susceptibility
3.03,12.07,4.42,NaN,37.94,0.0369,0.553,1.84,0.0366,-0.83,0.97,23.8,7.37,Critical Erosion Hotspot
1.94,NaN,0.2,1.71,24.17,0.0276,0.216,1.58,0.0097,-0.91,-3.63,10.4,8.2,Critical Erosion Hotspot
2.11,9.87,0.23,2.12,27.98,0.0315,0.178,1.09,0.0224,-1.79,-0.58,0.0,8.85,Critical Erosion Hotspot
2.0,9.94,3.71,1.37,71.81,NaN,0.12,6.5,0.0167,-2.05,-6.41,10.2,5.77,Moderate Susceptibility
2.49,13.8,0.79,1.73,84.31,0.049,0.536,8.09,0.0337,-0.6,0.59,27.6,3.87,Low Susceptibility
1.05,9.75,0.92,0.8,89.65,0.0433,0.534,8.08,0.0317,0.19,-1.35,32.1,2.01,Low Susceptibility
2.35,10.07,2.22,1.84,48.91,0.0588,NaN,4.18,0.0467,-1.14,-5.17,14.5,6.65,High Susceptibility
1.11,8.32,0.94,0.59,51.56,0.015,0.179,4.66,0.0131,2.0,15.87,34.4,1.37,Stable or Accreting
NaN,11.61,3.67,1.49,NaN,0.0542,0.801,5.27,0.0453,-1.8,-8.27,22.3,NaN,Moderate Susceptibility
2.72,11.97,1.21,NaN,32.77,0.028,0.244,4.86,0.0257,0.52,4.12,20.3,2.52,Low Susceptibility
2.04,10.77,1.79,1.43,98.08,0.0781,1.191,NaN,0.0529,-0.08,-0.03,46.8,5.32,Low Susceptibility
0.97,7.42,0.96,1.24,56.82,0.0237,0.376,5.72,0.0244,1.39,8.22,NaN,4.53,Stable or Accreting
1.68,7.82,0.96,0.87,113.04,0.015,0.302,10.47,0.0172,2.44,14.09,60.3,3.21,Stable or Accreting
1.97,NaN,1.42,1.97,57.56,0.0565,0.8,4.37,0.042,-2.36,-1.42,26.7,7.13,Moderate Susceptibility
1.57,NaN,1.8,0.81,102.99,0.037,0.369,6.58,0.0176,2.73,15.64,71.4,3.0,Stable or Accreting
1.41,10.07,0.49,NaN,59.48,0.015,0.12,2.34,0.0094,0.4,11.16,22.2,7.79,Moderate Susceptibility
1.95,9.86,1.77,0.98,76.44,0.0348,0.677,9.01,0.0336,0.33,-1.95,NaN,2.69,Low Susceptibility
2.51,13.29,0.2,1.32,15.14,0.0257,0.345,2.33,0.015,-1.18,-3.93,2.0,3.69,High Susceptibility
1.76,10.02,0.62,1.28,96.23,0.0297,NaN,7.63,0.0256,1.46,8.82,52.1,NaN,Stable or Accreting
1.38,9.08,0.82,1.68,83.47,0.0324,NaN,7.79,0.0239,1.5,6.6,35.8,5.13,Stable or Accreting
2.97,12.04,0.34,2.3,8.0,0.0157,0.12,1.37,NaN,-3.79,NaN,0.0,6.79,Critical Erosion Hotspot
1.78,10.73,NaN,0.89,97.29,0.0181,0.206,8.11,NaN,0.45,1.62,NaN,2.87,Stable or Accreting
1.43,9.7,1.31,NaN,NaN,0.0317,0.544,10.64,0.0328,3.6,17.02,73.1,1.6,Stable or Accreting
3.46,13.68,NaN,2.03,8.0,0.0246,0.242,0.8,0.0219,-3.78,-15.4,0.0,9.17,Critical Erosion Hotspot
2.25,11.73,1.67,1.24,79.28,0.0561,0.912,5.81,0.049,1.68,13.89,41.7,5.21,Moderate Susceptibility
3.07,13.81,2.31,1.44,39.58,0.0623,0.538,3.61,0.0475,-1.79,-3.59,0.0,5.87,High Susceptibility
1.43,9.69,0.78,1.38,47.6,0.0413,NaN,5.08,0.0391,-2.82,-9.56,10.7,6.85,Moderate Susceptibility
1.93,11.42,2.97,1.33,111.64,0.0548,NaN,9.59,0.0518,2.44,13.79,46.3,3.13,Stable or Accreting
0.75,6.6,0.43,1.15,106.3,0.0231,0.315,9.54,0.0221,3.03,13.74,57.5,1.59,Stable or Accreting
3.19,13.35,0.62,2.03,52.96,0.0504,0.728,6.09,0.0439,-2.74,-14.43,0.0,4.41,High Susceptibility
2.26,11.96,0.93,1.16,44.72,0.0559,0.895,4.4,NaN,-1.32,-2.51,NaN,5.24,Moderate Susceptibility
1.76,11.34,0.92,1.75,8.0,0.0237,0.12,0.8,0.0126,-2.75,-9.74,0.0,7.84,Critical Erosion Hotspot
2.01,10.98,1.58,1.1,83.8,0.065,1.106,9.51,0.0554,2.06,13.64,47.8,3.46,Stable or Accreting
NaN,7.69,0.78,NaN,93.63,0.0258,0.282,7.76,0.0151,3.42,18.33,46.0,2.12,Stable or Accreting
NaN,10.11,0.2,1.76,89.85,0.0398,0.767,7.79,0.0375,0.86,8.71,50.0,5.06,Low Susceptibility
2.37,11.43,4.68,1.52,107.0,0.0434,0.559,9.29,0.0239,2.19,16.3,52.0,3.49,Stable or Accreting
2.41,9.18,5.04,1.44,NaN,0.0333,0.302,3.96,0.0227,-3.93,-17.65,0.0,7.25,Critical Erosion Hotspot
NaN,10.11,3.61,1.16,25.39,0.0278,0.244,1.78,0.0221,1.21,12.31,22.2,4.5,High Susceptibility
2.12,10.59,1.39,1.25,59.1,0.0471,0.597,6.48,0.0425,-0.08,3.45,33.9,2.54,Low Susceptibility
2.66,12.56,1.74,NaN,78.65,0.04,0.211,8.95,0.0317,NaN,-8.19,42.3,1.63,Low Susceptibility
NaN,10.57,4.13,1.78,59.7,0.0403,0.517,NaN,0.0298,-1.53,-11.22,42.3,5.58,Moderate Susceptibility
2.59,11.48,0.89,1.56,NaN,0.0411,0.503,NaN,0.0339,-0.14,-4.68,42.5,3.58,Low Susceptibility
0.78,5.51,4.35,0.79,NaN,0.0369,0.521,5.43,0.0287,1.52,9.75,39.1,NaN,Low Susceptibility
1.78,10.6,0.29,1.86,8.0,0.0178,0.162,0.8,0.0193,-4.26,-14.97,0.0,7.45,Critical Erosion Hotspot
NaN,7.52,0.95,1.26,76.53,0.0358,0.586,4.83,NaN,NaN,12.46,41.0,7.91,Low Susceptibility
0.91,4.92,0.71,0.68,99.46,0.0236,NaN,7.94,0.0228,2.12,8.25,62.8,NaN,Stable or Accreting
1.05,7.15,0.81,0.97,118.73,0.0174,0.206,10.2,0.0127,NaN,10.67,68.8,2.87,Stable or Accreting
3.03,13.74,3.16,1.55,84.1,0.0416,0.452,7.17,0.038,0.8,4.17,51.3,5.21,Low Susceptibility
1.9,7.46,5.26,0.99,56.53,0.0325,0.523,4.16,0.0251,0.01,3.21,NaN,3.41,Low Susceptibility
1.85,10.52,NaN,1.79,13.27,0.018,0.12,1.31,0.0125,NaN,-13.06,0.0,6.94,Critical Erosion Hotspot
1.75,8.51,0.46,1.1,66.34,0.0353,0.549,6.16,0.0316,-1.58,-4.05,31.0,3.66,Low Susceptibility
2.3,11.13,0.92,2.02,58.75,0.025,0.304,4.61,0.0297,-1.16,2.31,10.1,6.11,Moderate Susceptibility
2.44,10.62,1.35,NaN,95.78,0.0879,1.353,9.54,0.0627,-1.52,NaN,51.1,1.93,Low Susceptibility
1.41,10.83,4.64,NaN,84.7,0.0286,0.25,6.95,0.0272,1.2,11.36,40.4,3.08,Stable or Accreting
2.91,13.12,0.5,2.48,8.0,0.0325,0.28,0.88,0.0253,-4.21,-16.9,0.0,8.9,Critical Erosion Hotspot
NaN,11.67,0.65,1.99,64.1,0.0355,0.416,6.45,0.0324,-0.78,-1.5,21.0,6.93,Moderate Susceptibility
2.38,13.2,1.02,1.3,94.96,0.0804,NaN,9.63,0.0481,-0.82,-4.29,61.5,3.2,Low Susceptibility
2.37,10.92,3.26,1.43,93.98,0.0172,0.12,7.77,0.0169,-1.91,-5.13,45.5,4.91,Low Susceptibility
2.51,NaN,3.45,1.96,20.78,0.0356,0.339,1.59,0.0321,-3.55,-10.25,0.0,8.78,Critical Erosion Hotspot
2.91,12.58,1.27,1.56,78.26,0.0455,0.824,7.81,0.0381,-0.36,-6.15,36.5,3.97,Low Susceptibility
2.23,10.18,4.46,1.3,80.87,NaN,0.285,6.49,0.0219,-0.33,-2.24,39.8,5.77,Low Susceptibility
1.93,12.02,2.22,0.89,71.24,0.0549,NaN,5.6,0.0511,2.24,13.46,22.3,3.29,Low Susceptibility
3.74,12.88,0.68,1.68,8.0,0.0548,0.878,1.33,0.0456,-4.1,-12.78,0.0,3.2,Critical Erosion Hotspot
2.78,12.19,4.07,1.48,24.1,0.0432,0.578,1.64,0.0363,-1.79,-6.69,0.2,5.37,Critical Erosion Hotspot
NaN,12.13,0.56,1.52,24.8,0.0208,0.139,3.07,0.0113,-0.78,-5.13,9.0,2.32,Moderate Susceptibility
0.74,7.58,1.53,0.94,123.3,0.0151,0.149,9.64,0.0184,2.84,10.32,70.1,2.65,Stable or Accreting
1.28,NaN,0.27,1.45,12.41,0.0331,0.259,0.8,NaN,-1.29,-1.44,0.8,7.21,Critical Erosion Hotspot
2.63,10.45,0.42,2.14,8.0,0.021,NaN,0.8,0.0253,-5.79,-22.09,0.0,8.24,Critical Erosion Hotspot
2.57,10.74,NaN,2.5,8.0,0.0184,0.267,0.8,0.023,NaN,-13.9,0.0,7.35,Critical Erosion Hotspot
1.82,10.16,0.92,1.25,66.71,0.033,0.455,6.28,0.0294,-1.07,-9.15,36.8,NaN,Low Susceptibility
3.19,12.58,0.22,NaN,60.71,0.0363,0.633,7.24,0.0389,-0.4,-2.63,43.3,3.6,Low Susceptibility
2.82,12.17,0.84,1.72,20.24,0.0412,0.215,2.72,0.0144,-0.78,-4.41,0.0,2.4,High Susceptibility
1.75,9.77,3.91,0.4,95.37,0.0313,0.467,8.23,0.0335,1.22,11.35,61.2,1.28,Stable or Accreting
2.85,13.88,0.56,1.58,55.13,0.0688,1.128,8.11,0.0522,-3.08,-11.9,18.2,2.0,Moderate Susceptibility
2.42,NaN,4.91,1.0,68.93,NaN,NaN,6.5,0.0309,-0.61,-3.05,53.8,5.83,Low Susceptibility
2.86,12.47,0.79,1.8,75.22,0.0677,0.86,7.8,0.0501,0.86,NaN,57.6,2.26,Stable or Accreting
2.47,11.69,1.02,1.4,64.85,0.0277,0.165,6.47,0.0259,-0.81,-8.01,30.5,2.04,Low Susceptibility
2.13,8.82,NaN,1.71,26.8,0.0277,0.223,2.14,0.0241,-0.3,3.21,11.8,NaN,Moderate Susceptibility
2.95,14.04,0.42,2.0,70.11,NaN,0.741,NaN,NaN,-0.08,3.2,48.7,4.51,Low Susceptibility
NaN,6.53,0.82,0.75,88.6,0.0272,0.177,5.8,0.0169,1.13,NaN,39.0,NaN,Stable or Accreting
1.1,8.74,2.99,0.39,102.36,0.0486,0.585,10.36,0.0337,NaN,12.7,54.3,1.52,Stable or Accreting
2.73,12.17,0.99,1.73,43.83,0.0335,0.329,4.68,0.0231,-2.21,-12.92,1.9,NaN,High Susceptibility
1.19,9.24,1.11,0.83,90.85,0.0356,0.583,7.69,0.0281,-0.97,-0.18,26.1,5.44,Low Susceptibility
1.34,11.41,1.24,1.05,59.45,0.0671,1.011,7.44,0.0476,-0.35,1.53,NaN,4.52,Low Susceptibility
1.72,9.63,0.2,2.36,31.83,0.0298,0.171,4.43,0.0195,NaN,-3.63,13.1,8.45,High Susceptibility
2.11,10.78,0.83,1.16,45.54,0.0254,0.148,4.6,0.017,-1.41,-3.82,20.0,4.42,Moderate Susceptibility
2.86,11.97,1.11,1.74,56.51,NaN,0.355,5.61,0.0294,-0.32,NaN,44.6,4.3,Low Susceptibility
3.45,NaN,0.39,1.96,36.85,0.045,0.5,5.38,0.0344,-2.42,-8.83,20.6,4.47,High Susceptibility
1.23,8.86,0.57,1.39,72.03,0.0172,0.12,4.2,0.0069,2.05,13.41,65.7,NaN,Low Susceptibility
1.04,9.3,4.59,0.92,19.61,NaN,NaN,1.8,0.0233,NaN,-13.95,NaN,4.82,Critical Erosion Hotspot
2.79,14.24,0.4,2.15,84.41,0.0366,0.278,7.28,0.0226,-0.67,0.8,38.8,7.67,Low Susceptibility
1.75,10.73,2.02,0.72,92.83,0.0637,0.954,9.04,0.0466,1.02,-0.73,71.5,2.1,Stable or Accreting
2.57,11.31,0.52,1.91,NaN,NaN,0.294,6.39,0.022,-1.44,-3.54,18.6,4.05,Moderate Susceptibility
1.63,10.11,0.88,1.07,49.69,0.039,0.745,3.28,0.043,-0.56,4.73,10.3,3.74,Moderate Susceptibility
2.0,13.02,1.07,1.65,60.32,0.0506,0.703,4.27,0.0427,1.95,10.1,44.6,5.97,Moderate Susceptibility
1.74,8.65,4.21,0.94,54.84,0.0254,NaN,4.55,0.0294,-0.67,-5.74,25.0,NaN,Moderate Susceptibility
2.57,11.53,2.56,1.63,40.75,0.0453,0.558,2.12,0.029,0.68,11.08,5.8,4.67,High Susceptibility
2.39,9.1,NaN,1.27,52.49,0.0186,0.282,4.11,0.0236,-0.89,-5.55,18.7,4.53,Moderate Susceptibility
1.2,9.24,NaN,0.98,53.52,0.0304,0.215,NaN,0.0173,0.21,7.0,32.2,5.92,Moderate Susceptibility
NaN,10.9,5.22,0.56,97.75,0.0221,0.534,10.77,0.0271,-0.77,-9.94,72.4,NaN,Low Susceptibility
2.4,10.45,0.33,1.87,49.35,0.0368,0.631,6.05,0.0321,-2.34,-9.3,NaN,3.63,Moderate Susceptibility
1.74,9.8,1.19,1.15,35.52,0.0288,0.379,2.74,0.0182,-1.89,-4.73,1.6,3.41,Moderate Susceptibility
2.12,11.13,NaN,0.69,85.83,0.0344,0.575,5.87,0.028,2.59,9.18,56.3,1.59,Stable or Accreting
2.91,13.47,4.97,1.04,64.25,0.0273,0.438,5.89,NaN,-0.78,-1.08,40.9,2.93,Low Susceptibility
3.07,12.35,0.46,1.96,24.75,0.0484,0.513,2.55,0.0331,-3.65,-14.29,0.0,4.1,Critical Erosion Hotspot
2.28,10.95,1.25,1.31,114.59,0.0359,0.407,7.37,0.0307,1.27,7.76,67.0,3.26,Stable or Accreting
1.98,8.94,4.66,1.41,30.74,0.0284,0.202,1.64,NaN,NaN,-6.62,0.0,5.1,Critical Erosion Hotspot
1.52,9.64,4.23,1.18,34.88,0.0326,0.55,0.8,0.0306,-2.3,-8.77,14.4,7.54,Critical Erosion Hotspot
2.75,11.59,3.6,1.6,56.79,0.0492,0.652,5.59,0.0367,-1.24,-5.55,8.8,2.88,Moderate Susceptibility
1.96,12.06,4.67,NaN,NaN,NaN,1.051,5.98,0.0384,-1.01,-5.29,46.6,3.22,Low Susceptibility
2.18,10.18,5.1,1.08,51.51,0.0402,0.365,4.96,0.0248,0.72,4.58,28.0,3.61,Moderate Susceptibility
2.15,8.04,0.35,1.78,8.0,0.027,0.285,1.05,0.0163,-2.49,-2.51,0.0,6.58,Critical Erosion Hotspot
1.85,NaN,0.83,1.04,84.43,0.0793,1.34,8.92,0.0567,-1.73,NaN,56.3,2.83,Low Susceptibility
3.03,11.88,0.86,1.86,41.62,0.052,0.735,3.73,0.0373,-3.08,-17.02,NaN,4.7,High Susceptibility
3.49,13.58,0.38,NaN,8.0,NaN,NaN,0.8,0.0228,-1.05,1.12,0.0,5.84,Critical Erosion Hotspot
1.23,10.14,4.51,0.26,79.47,NaN,0.377,5.98,0.0159,2.21,14.77,NaN,4.35,Low Susceptibility
1.56,9.2,0.2,1.36,12.26,0.0154,0.291,2.95,0.0172,-4.89,-19.08,0.0,7.25,Critical Erosion Hotspot
1.43,8.15,3.32,0.6,93.46,NaN,0.256,7.12,NaN,0.58,-1.0,52.9,4.37,Low Susceptibility
2.19,9.01,0.81,2.11,8.0,0.0294,0.12,NaN,0.0152,-3.84,-15.91,0.0,7.45,Critical Erosion Hotspot
2.96,14.06,0.36,NaN,65.48,0.0521,0.716,6.17,NaN,-2.01,-6.5,24.9,6.0,Moderate Susceptibility
2.03,10.33,NaN,1.69,110.87,0.0234,0.275,11.52,0.0243,3.6,15.4,82.6,3.19,Stable or Accreting
1.1,7.73,3.2,1.85,73.9,NaN,0.771,6.16,0.0341,-2.24,-12.73,26.9,6.64,Moderate Susceptibility
0.86,8.19,1.83,0.47,124.84,0.015,0.271,8.75,0.0144,3.6,22.0,70.0,3.14,Stable or Accreting
NaN,8.8,1.41,NaN,57.79,0.0314,0.274,5.27,0.0153,2.19,14.22,36.6,4.88,Low Susceptibility
1.85,11.5,0.56,2.0,38.27,0.0244,NaN,2.66,0.0272,-2.76,-9.22,10.4,8.02,High Susceptibility
1.1,NaN,3.43,1.18,80.84,0.015,0.155,4.25,0.0042,0.88,8.31,58.3,6.89,Low Susceptibility
1.99,11.91,NaN,1.64,51.53,0.0704,1.272,3.76,0.0487,1.17,2.78,24.0,5.43,Moderate Susceptibility
1.32,9.54,2.05,0.9,57.47,0.0354,0.44,NaN,0.0309,-0.23,10.02,29.5,4.81,Moderate Susceptibility
2.16,10.69,5.09,1.44,36.0,0.0353,0.274,2.57,0.0252,-2.71,-10.42,8.0,6.6,Critical Erosion Hotspot
1.82,10.19,5.09,0.92,54.9,NaN,0.397,4.34,0.0281,0.08,8.0,15.5,4.13,Moderate Susceptibility
2.8,11.87,NaN,2.69,8.0,0.0487,0.332,0.8,0.0313,-4.69,NaN,0.0,8.75,Critical Erosion Hotspot
2.58,10.42,0.35,1.59,8.0,0.0192,0.136,0.8,0.0129,-3.3,-9.59,0.0,4.86,Critical Erosion Hotspot
2.11,9.89,0.2,1.94,26.3,0.0308,0.224,3.86,0.0231,-2.04,-9.56,24.3,6.98,High Susceptibility
1.37,8.47,0.2,1.52,28.22,0.0246,0.398,NaN,0.0254,-2.78,-9.94,0.0,7.61,High Susceptibility
2.16,11.35,0.73,1.27,35.26,0.0549,0.551,5.18,0.0398,-2.31,-9.36,0.0,2.72,High Susceptibility
1.47,9.91,0.95,1.45,100.05,0.0352,0.538,6.43,0.029,3.46,14.86,42.7,NaN,Stable or Accreting
2.98,12.08,4.96,1.75,53.72,0.0324,NaN,6.2,0.022,-3.11,-16.29,NaN,2.89,Moderate Susceptibility
2.91,9.71,3.01,1.3,64.51,0.0198,0.227,7.08,0.0212,-1.84,-8.4,35.7,3.76,Low Susceptibility
2.55,11.48,2.41,1.6,63.48,0.0283,0.159,5.91,0.0113,-3.14,-9.17,39.2,5.7,High Susceptibility
3.31,14.14,0.44,2.24,31.67,0.0301,0.238,NaN,0.0143,-3.25,-6.06,0.0,8.19,High Susceptibility
0.92,NaN,0.34,1.22,8.0,NaN,0.262,0.8,0.0207,-3.45,-13.86,0.0,7.05,Critical Erosion Hotspot
2.78,13.57,1.79,1.67,83.86,0.0666,1.084,8.41,0.0569,2.01,15.34,40.8,1.25,Stable or Accreting
1.92,8.58,1.28,NaN,97.85,0.0274,0.321,6.83,0.0299,1.03,7.32,64.1,5.83,Stable or Accreting
1.89,10.65,0.49,1.56,61.56,0.0203,0.221,5.64,NaN,NaN,-8.46,5.5,5.3,Moderate Susceptibility
2.76,11.53,3.53,1.82,70.26,0.0426,NaN,6.67,NaN,-1.45,1.42,12.6,NaN,Low Susceptibility
0.35,6.34,0.97,0.82,127.76,0.0278,0.299,11.36,0.0167,2.9,12.41,82.7,0.8,Stable or Accreting
3.02,10.76,4.93,1.8,66.52,0.0492,0.778,NaN,0.0432,-0.54,0.82,43.7,5.03,Moderate Susceptibility
NaN,10.91,0.3,2.31,NaN,0.015,0.12,0.8,0.0098,-2.71,-12.85,0.0,8.47,Critical Erosion Hotspot
0.92,8.87,0.98,0.85,85.5,0.0188,0.127,4.68,0.0103,2.76,17.0,NaN,2.12,Stable or Accreting
2.45,NaN,4.28,1.53,88.21,0.0293,0.419,9.61,0.0248,-1.63,-13.09,55.9,3.81,Low Susceptibility
2.73,NaN,0.62,1.68,NaN,0.0374,0.734,7.35,0.0373,-0.56,-3.43,43.2,3.11,Low Susceptibility
2.07,NaN,0.43,1.66,50.94,0.0206,0.129,5.13,0.0109,-3.84,-16.56,2.9,5.11,High Susceptibility
1.37,8.47,3.6,NaN,92.23,0.0413,0.86,7.93,0.0364,-1.33,-7.22,28.1,9.44,Moderate Susceptibility
2.19,11.38,2.46,1.04,60.48,0.036,0.525,5.92,0.0311,-0.45,-0.9,48.7,3.71,Low Susceptibility
2.15,10.15,1.81,NaN,108.76,0.0372,0.334,8.91,0.027,3.52,14.94,NaN,1.57,Stable or Accreting
2.44,NaN,2.36,1.25,26.45,0.0655,0.895,NaN,0.0522,0.5,6.03,9.9,2.06,Moderate Susceptibility
0.96,7.77,1.1,1.33,103.38,0.0332,0.12,7.16,0.0164,3.56,20.45,56.0,3.86,Stable or Accreting
